product_name,price,discount,review_rating,review_amount,brand
"Limpiador Facial, Mini Spa Eléctrico 5 En 1",11.000,0,4.6,20,Brand not found
Cepillo Exfoliante Facial,22.000,0,4.1,9,GypsyMarket Co
Cepillo Limpiador Facial 5 En 1 Masajeador Exfoliante A Pila,23.183,3,0,0,Univex
Agua Micelar Kiss Beauty 220ml,13.150,0,0,0,Kiss Beauty
Parches Desintoxicantes 100und,68.310,31,0,0,Kinoki
Limpiador Espátula Ultrasonido ,29.900,0,0,0,Muye
Masajeador Facial 4en1 Cnaier  ,60.000,0,0,0,Cnaier
Parche Desintoxicantes 50und - Unidad a $974,47.187,37,0,0,Kinoki
Rueditas Desmaquilladoras Pomys,36.867,0,0,0,Familia
Parche Desintoxicantes 50und - ,17.000,0,0,0,Kinoki
Spa Facial Mini Masajeador Facial - Unidad a $10000,10.000,0,0,0,Genérica
Desmaquillador Dual Samy 260 Ml - Ml A $100,38.000,0,0,0,Samy
Maquina De Limpieza Facial 5 En 1,13.900,0,0,0,Genérica
Hyséac Gel Limpiador - Uriage,129.750,25,0,0,Uriage
Agua micelar Garnier skinactive  400ml,33.900,0,0,0,Garnier
Masajeador Limpieza Facial Pulpo Exfoliante Espuma Portátil ,8.500,0,0,0,Etude House
Sensyses Cleanser Sebum Desmaquillante Limpiador Sesderma,65.250,25,0,0,Sesderma
Masajeador Facial Exfoliante ,9.900,0,0,0,Genérica
Limpiador Anti-rugosidades - Cerave 236 Gr,55.200,20,0,0,CeraVe
Pomo Desmaquillante En Toallitas De Atenea - G,22.900,0,0,0,Atenea
Masajeador Limpieza Facial Pulpo Exfoliante Cepillo,6.305,3,0,0,Etude House
Agua Micelar Hidratante,24.590,0,0,0,L'Oréal Paris
Locion Despigmentadora - mL a $267,16.000,0,0,0,Despigmentadora
Desmaquillador Essential para ojos y rostro Lbel 45ml,24.380,8,0,0,L'Bel
Kit Masajeador Facial Lim 12 Pz,29.900,0,0,0,Genérica
Levantamiento Facial Con Microcorriente Color Rosa,163.123,2,0,0,skindion Levantamiento Facial Con Microcorriente Color Rosa
Agua Micelar Bifásica Facial Skin First Cyzone,9.000,0,0,0,Cyzone
Samy Agua Micelar Desmaquillante  260ml - Ml A $50,15.500,0,0,0,Samy
Sensyses cleanser hyaluronic Sesderma 200 ml,65.250,25,0,0,Sesderma
 Limpiador Masajedor 4 In 1 Electric Recargable Facial,55.900,0,0,0,Cnaier
Limpiador Facial Ultrasónico - Kg a $28311,28.311,0,0,0,pala facial
Cetaphil Limpiador Piel Grasa - Galderma,53.900,30,0,0,Cetaphil
Sensibio H2o Toallitas Desmaquillantes - Bioderma,39.900,0,0,0,Bioderma
Vaporizador Facial Vick,83.000,0,0,0,Vick
Agua Micelar Limpiadora Facial 3 En 1 Vitamina E 300ml,12.900,0,0,0,Avon
Limpiador Exfoliante Facial Rebel Skin Sonic Cleanser,39.900,0,4.9,8,Rebel
Pulpo Limpiador Facial Exfoliante Limpieza Facial,7.990,0,0,0,Brand not found
Pomos Desmaquillantes En Algodón Almohadil - g,19.900,0,0,0,Fluffs
Desmaquillante Bifásico Waterproof Para Ojos 100 Ml Uriage,57.750,25,0,0,Uriage
Pond's Desmaquillante Clarant B3,47.000,0,0,0,Pond's
Cepillo Exfoliante Facial Limpiador Poros Masajeador 2801,15.900,0,0,0,Genérica
Limpiador Masajedor  Facial Mini Spa Electrico 5 En 1  Caja ,13.900,0,0,0,Brand not found
"Bioderma Sébium H2o, Limpieza Profunda, 250 Ml",66.276,26,0,0,Bioderma
Agua Micelar Kaloe 125ml - mL,14.475,0,0,0,Kaloe
Desintoxicador Spa Detox Limpiador Ionico Dual Baño De Pies ,1.109.900,0,0,0,Beauty
5 In 1 Beauty Care Massager - - Unidad,13.205,5,0,0,Compra y Más
Agua Micelar Pili 220 - Ml,19.800,0,0,0,Pili
Toallitas Desmaquillantes Neutrogena® Night Calming X 25 Un.,39.850,0,0,0,Neutrogena
Dispositivo Estiramiento Facial Lifting Estirador Cara Usb,59.750,5,3.5,15,Genérica
Cepillo Limpiador Facial Exfoliante Y Masajeador De Pulpo,4.900,0,5.0,3,Brand not found
"Limpiador Facial, Mini Spa Eléctrico 5 En 1",11.000,0,4.6,20,Brand not found
Cepillo Exfoliante Facial,22.000,0,4.1,9,GypsyMarket Co
Hidraven Crema Espumosa Sin Jabón - Sesderma 300 Ml,93.750,25,4.8,24,Sesderma
Esponja Facial Celulosa Comprim,7.895,30,4.9,9,Huini
Limpiador Multisensorial Dhems - mL,54.300,0,0,0,Dhems
"Korean Biodance Bio-collagen Real Deep Mask, Biodance",57.797,9,0,0,Tairashop
Sensilis Gentle Cleansing Mousse - Sensilis 200 Ml,75.750,25,4.8,8,Sensilis
Sensibio Gel Moussant - Bioderma,129.500,30,5.0,21,Bioderma
Equipo Limpieza Facial 5 En 1 Mini - Unidad a $1570,10.990,0,0,0,Visofo
Locion Lactibon  - Medihealth - mL a $632,75.900,0,0,0,Medihealth
Desmaquillante Espectañas - mL,43.290,0,0,0,Espectañas
Pomo Cepillo Limpiador Facial Exfoliante En Silicona Pequeño,6.900,0,5.0,1,Brand not found
2 Unidades De Aceite De Batana Útil Para La Salud Del Cabell,51.734,7,4.6,11,Generic
Isdinceutics Essential Cleansing - Isdin 200 Ml,90.750,25,4.9,34,Isdin
Esponja De Limpieza Facial Comprimi - Unidad a $948,5.690,0,4.0,8,Nuogo
"Limpiador Ultrasónico, Peeling",108.000,10,0,0,Jomarto
Effaclar Barra - La Roche Posay,39.750,25,4.9,31,La Roche Posay
Vaporizador facial Mini Nano para limpieza de la piel y maquillaje rosa,19.740,40,0,0,Nano
Desmaquillante Neutrogena S Acei Spray 16,60.100,0,0,0,Neutrogena
Cepillo Masaje Limpieza Facial,21.798,12,0,0,Limpieza profunda y suave vibración ultra sónica.
Desintoxicador Spa Detox Limpiador Ionico Dual Baño De Pies,1.109.990,0,0,0,Desintoxicador Ionico Dual
Garnier Agua Micelar Todo En 1 ,32.900,0,0,0,Garnier
Biretix Cleanser Gel Limpiador Purificante - Cantabria Labs ,83.250,25,0,0,Cantabria Labs
Cepillo De Limpieza Facial 2en1 - Unidad a $12000,12.000,0,4.0,1,Miis Cosmetics
Cepillo Exfoliante Manual Limpieza De Cara Impurezas,10.900,0,0,0,Mazugi
Make Up Eraser Toalla Desmaquillante Mejor Calidad Full,14.000,0,5.0,1,Make Up
Loción Despigmentante Morada - mL a $367,22.000,0,4.7,23,QUEENS SKIN
Nihay Dispositivo De Estiramiento Facial Con Microcorriente Color Segun Disponibilidad,29.800,0,0,0,Nihay
Toalla Desmaquillante Salon Expert Purpura X 1 Und Color Multicolor,14.900,0,4.0,1,Salon expert
Limpiador Facial Miniluna2 Negr - Unidad a $11250,11.250,0,5.0,4,Genérica
Cepillo Exfoliante Facial Limpiad - Unidad a $11609,11.609,0,0,0,Brand not found
Gel Limpiador Dhems 200 Ml,40.950,30,5.0,6,Dhems
Esponjas Faciales De Celulosa Compri - Unidad a $56,8.000,0,0,0,Luxiv
Vaso Vapor Ozono De Pedestal,28.600,0,4.4,8,Beautyeyestore
Limpiador Espátula Ultrasonido ,30.900,0,2.7,3,Genérica
Masajeador Facial 5 En 1 Spa,31.900,0,0,0,Genérica
Cinturón Ciática Soporte Aliviar Dolor Espalda Mujer Hombre,60.440,7,0,0,Genérica
Vaporizador Facial Recargable,13.900,0,0,0,Nano Spray Water YL882
Acid Mantle® Prob5 Limpieza Delicada Gel Facial,38.900,26,4.9,14,Acid Mantle
Limpiador Espátula Ultrasonido - Unidad a $5940,29.700,0,4.0,1,Muye
Piel Grasa Rutina Eucerin,173.340,40,5.0,2,Eucerin
Molde De Limpieza Facial Hielo ,17.900,0,4.5,2,Genérica
Toallitas Desmaquillantes Lea,13.650,22,0,0,Lea
Neotone Gel Limpiador - Isispharma 150 Ml,83.300,30,5.0,6,Isispharma
Agua Micelar Smart 3b X 260 Ml - mL,14.089,0,0,0,Smart
Foreo Limpiador Masajeador Faci,14.900,0,0,0,Genérica
Agua micelar revitalizante Renew - 150 ml Avon,11.990,0,0,0,Avon
Cepillo Delimpieza Facial 5en1,17.900,0,4.0,1,Genérica
Agua Micelar 220ml - L,24.651,0,0,0,Kosmaderm
4 Unidades De Crema De Colágeno Joint Bone Meridian,56.646,27,4.3,37,Genérica
"Limpiador Facial, Mini Spa Eléctrico 5 En 1",11.000,0,4.6,20,Brand not found
Cepillo Exfoliante Facial,22.000,0,4.1,9,GypsyMarket Co
Dermapen Derma Dr Pen Ultima A1- - Unidad a $147900,147.900,12,5.0,1,Dr. Pen Dermapen
Oferta Pañuelo Familia Triple Hoja Bolsillo Pague 4 Lleve 6,6.000,0,5.0,1,Familia
Mini Cepillo Electrico Limpieza - Unidad a $71100,71.100,0,0,0,SONIC FACIAL
Jabón Liquido Detox Asepxia® - mL a $136,27.200,0,4.6,8,Asepxia
Desmaquillante Bifásico Ojos Y Labios D - Ml A $410,36.015,30,0,0,Dhems
Exfoliante Limpiador Facial - Unidad a $11800,11.800,0,5.0,1,Vivalizz
Vapor Ozono Facial / Corporal Calor Y Frió 2 Brazos Pedestal,392.500,0,4.7,23,Beautyeyes
Agua Micelar Reparadora Nivea Regenerating Micellar Water 40,30.900,0,0,0,Nivea
Cepillo Aseo Facial Gel Sílice - Unidad a $19440,19.440,10,0,0,Harko
Esponja Facial Celulosa Comprim - Unidad a $908,10.900,0,4.3,9,Huini
